Brand,Date,Buzz,Impression,Quality,Value,Reputation,Satisfaction,Recommend,Awareness,Attention,Ad Awareness,WOM Exposure,Consideration,Purchase Intent,Current Customer ,Former Customer,BrandIndex
Airbnb,2020-05-11,1.8,8.5,8.1,5.9,6.1,9.4,8.6,63.2,13.7,4.5,8.9,15.2,5.9,7.6,8.2,7.8
Airbnb,2020-05-18,2.6,10.6,11.0,10.7,9.5,13.4,10.4,65.2,14.8,9.3,13.0,17.9,9.7,10.3,10.4,10.9
Airbnb,2020-05-25,0.0,9.2,8.5,13.0,8.4,11.3,12.1,64.7,14.8,6.3,10.5,19.4,8.8,8.7,9.7,10.4
Airbnb,2020-06-01,3.2,13.8,13.9,9.8,9.8,14.1,14.0,62.7,11.8,6.0,8.5,18.3,9.6,8.3,10.4,12.5
Airbnb,2020-06-08,2.2,13.5,10.9,14.0,10.6,11.0,15.7,66.3,13.5,6.5,12.3,21.7,11.2,7.5,8.0,12.6
Airbnb,2020-06-15,2.6,11.8,10.2,12.4,11.2,10.4,12.3,57.4,9.6,6.0,11.4,14.9,7.3,6.4,10.0,11.4
Airbnb,2020-06-22,1.8,10.7,9.6,13.1,10.2,11.6,11.8,62.1,12.4,7.0,11.0,21.2,10.6,6.5,9.3,11.2
Airbnb,2020-06-29,1.6,8.9,8.7,11.8,6.8,11.5,11.9,66.1,11.9,5.1,14.0,17.8,9.7,10.1,8.1,10.0
Airbnb,2020-07-06,4.1,13.4,10.3,13.2,9.9,12.2,12.1,65.6,12.9,8.6,12.3,21.0,10.5,8.8,8.9,11.9
Airbnb,2020-07-13,1.2,6.3,5.4,10.2,7.3,7.4,6.6,63.6,12.7,7.7,8.9,13.9,5.9,4.4,8.6,7.2
Airbnb,2020-07-20,0.5,7.2,7.7,12.7,7.6,11.1,8.9,60.3,12.3,5.8,9.2,17.0,8.7,6.9,9.1,9.2
Airbnb,2020-07-27,1.7,8.7,7.9,14.0,7.5,8.6,8.7,68.5,13.8,7.7,10.8,17.2,6.6,4.9,10.1,9.2
Airbnb,2020-08-03,0.9,5.7,2.4,5.1,6.3,9.2,5.2,61.6,12.2,5.0,8.6,16.1,7.9,7.2,7.2,5.6
Airbnb,2020-08-10,5.5,14.5,11.6,13.9,13.6,11.9,15.5,68.1,12.9,8.4,13.6,19.2,11.2,9.2,7.6,13.5
Airbnb,2020-08-17,1.1,7.1,9.0,7.1,9.1,7.0,5.5,67.5,13.3,6.2,9.1,15.5,4.9,5.8,10.2,7.5
Airbnb,2020-08-24,5.7,17.8,9.7,14.5,10.9,13.6,11.7,65.7,14.9,7.4,10.4,19.4,8.2,7.9,8.9,13.0
Airbnb,2020-08-31,3.4,11.1,10.1,14.9,10.1,9.4,11.6,61.2,14.2,10.2,10.1,18.6,7.9,5.7,11.4,11.2
Airbnb,2020-09-07,5.4,11.8,7.4,10.1,5.8,10.9,10.8,62.1,13.9,8.0,11.0,18.7,7.0,7.7,7.9,9.5
Airbnb,2020-09-14,1.8,9.9,6.0,10.8,8.6,10.2,8.3,64.9,13.3,7.0,10.3,16.6,6.2,5.0,10.3,9.0
Airbnb,2020-09-21,-0.5,7.9,7.3,6.6,5.9,9.5,9.7,67.2,11.9,6.3,9.0,15.4,6.3,4.5,11.1,7.8
Airbnb,2020-09-28,4.1,8.3,9.0,11.1,10.4,10.2,12.6,66.2,13.0,8.3,11.1,18.3,8.5,5.8,12.6,10.3
Airbnb,2020-10-05,8.7,18.5,14.1,17.1,11.2,13.2,16.2,69.7,16.5,12.3,18.7,24.3,12.9,12.3,9.2,15.0
Airbnb,2020-10-12,3.5,12.3,7.8,9.4,6.7,12.5,11.6,65.6,12.6,9.2,8.8,18.7,8.8,8.6,10.2,10.1
Airbnb,2020-10-19,4.2,11.8,9.7,13.0,8.9,12.5,12.5,62.5,14.0,7.5,11.0,19.3,9.5,7.0,9.3,11.4
Airbnb,2020-10-26,4.6,12.6,10.7,13.7,9.5,12.1,16.2,66.8,14.9,8.9,11.6,21.3,11.1,7.8,10.5,12.5
Airbnb,2020-11-02,7.9,12.4,12.0,11.2,9.7,16.6,15.5,68.6,15.0,10.5,11.3,18.6,10.0,9.6,13.8,12.9
Airbnb,2020-11-09,8.9,15.8,15.4,12.7,9.8,13.9,14.2,65.3,12.9,8.0,9.4,19.1,9.7,6.5,11.6,13.6
Airbnb,2020-11-16,5.9,12.8,5.9,16.1,6.3,13.4,10.7,69.3,14.2,8.8,10.9,20.6,10.6,7.9,14.7,10.9
Airbnb,2020-11-23,3.0,8.1,6.2,8.7,8.3,8.2,8.1,61.4,9.8,5.9,7.9,15.4,6.0,4.0,8.6,7.9
Airbnb,2020-11-30,3.2,12.9,11.0,14.0,10.3,12.3,13.3,66.9,16.6,7.4,10.5,24.7,10.7,7.2,12.6,12.3
Airbnb,2020-12-07,4.4,12.5,6.8,10.5,11.4,10.8,12.0,67.9,16.8,9.5,11.7,17.9,9.7,6.5,10.9,10.7
Airbnb,2020-12-14,8.5,7.9,7.8,7.6,8.2,10.8,8.0,70.5,14.6,10.7,12.8,17.1,6.6,7.0,10.2,8.4
Airbnb,2020-12-21,3.1,8.8,7.8,10.9,7.8,11.7,9.9,60.7,13.5,8.3,8.9,16.7,7.3,4.9,10.6,9.5
Airbnb,2020-12-28,1.2,9.1,7.4,7.7,10.3,9.7,7.9,63.5,12.5,9.0,9.4,14.9,7.3,4.9,12.4,8.7
Airbnb,2021-01-04,5.0,8.1,7.6,11.6,8.1,12.5,11.1,65.6,15.3,11.0,11.5,20.6,10.3,5.2,12.0,9.9
Airbnb,2021-01-11,2.4,9.4,6.9,12.0,8.1,11.0,7.6,66.9,17.2,10.0,9.9,18.9,9.0,6.9,12.6,9.2
Airbnb,2021-01-18,7.0,13.7,10.1,12.6,10.2,9.9,12.6,67.6,15.1,8.7,10.5,20.4,9.1,4.1,12.9,11.5
Airbnb,2021-01-25,4.1,12.3,10.8,11.7,9.7,11.9,11.6,64.0,18.2,9.4,11.1,17.8,6.5,4.4,14.9,11.3
Airbnb,2021-02-01,6.7,9.9,8.0,8.9,7.8,13.5,8.1,64.9,14.9,9.2,10.9,20.3,12.2,7.8,10.8,9.4
Airbnb,2021-02-08,3.6,9.6,10.8,14.2,11.1,13.7,13.2,69.7,16.3,11.0,12.0,21.6,7.2,6.3,14.4,12.1
Airbnb,2021-02-15,3.6,15.8,12.2,15.0,14.5,13.3,17.4,67.6,15.6,10.2,13.4,23.6,10.1,7.1,14.2,14.7
Airbnb,2021-02-22,7.3,11.9,13.0,12.0,11.7,13.6,12.5,65.2,18.6,11.8,14.7,19.9,9.0,6.8,12.9,12.4
Apple,2019-07-01,15.7,31.0,41.8,8.0,36.1,22.2,25.9,88.7,27.0,26.0,19.0,29.2,12.9,14.4,23.5,27.5
Apple,2019-07-08,15.4,35.5,40.8,12.3,36.6,28.6,29.6,88.5,29.3,32.9,22.8,27.7,12.9,17.7,21.9,30.6
Apple,2019-07-15,17.2,29.4,34.7,11.2,31.9,24.2,25.0,87.1,28.8,29.1,20.4,25.5,10.7,12.5,20.7,26.1
Apple,2019-07-22,15.9,25.8,32.9,5.1,26.3,22.5,19.8,91.1,27.7,27.8,20.6,26.2,14.0,14.5,23.7,22.1
Apple,2019-07-29,17.4,34.7,41.3,10.7,34.5,29.1,27.3,89.0,30.0,31.4,22.2,31.1,15.0,13.7,30.5,29.6
Apple,2019-08-05,12.0,21.8,34.5,6.0,25.9,21.9,19.3,89.8,31.0,27.2,19.6,28.0,12.3,12.4,28.3,21.6
Apple,2019-08-12,16.9,30.8,41.6,7.5,32.5,26.0,26.3,88.6,29.4,31.1,19.4,28.7,15.0,14.2,25.5,27.4
Apple,2019-08-19,13.7,31.3,42.4,9.1,28.1,24.4,25.8,93.4,31.8,30.9,22.8,29.6,13.1,16.8,21.8,26.9
Apple,2019-08-26,17.7,29.7,34.6,5.3,35.7,21.9,17.3,91.1,31.5,28.6,23.6,27.9,14.6,15.5,25.4,24.1
Apple,2019-09-02,14.9,29.5,37.4,6.2,30.6,25.0,23.6,89.7,32.9,26.6,23.5,28.9,15.2,16.0,25.8,25.4
Apple,2019-09-09,20.1,29.9,37.7,6.8,34.3,26.7,26.0,90.8,37.0,32.9,23.6,31.0,16.5,16.5,24.9,26.9
Apple,2019-09-16,20.5,29.9,39.2,6.8,31.8,24.2,24.9,88.7,30.9,35.2,25.7,29.7,14.2,15.5,26.4,26.1
Apple,2019-09-23,17.0,30.6,42.1,10.5,33.6,28.1,27.7,90.2,33.9,35.5,26.2,30.7,16.0,18.5,22.4,28.8
Apple,2019-09-30,19.6,29.6,42.2,7.6,32.0,25.4,27.2,89.5,33.1,34.8,21.0,27.1,14.1,14.7,26.2,27.3
Apple,2019-10-07,19.8,30.6,35.7,4.1,29.4,24.1,21.8,92.7,32.1,32.5,20.7,27.9,12.3,13.0,22.2,24.3
Apple,2019-10-14,17.0,26.4,39.3,3.2,30.3,21.4,24.2,86.9,32.9,30.7,25.3,27.9,14.5,15.2,21.5,24.1
Apple,2019-10-21,14.8,21.8,34.4,4.4,25.1,18.8,17.2,90.7,31.2,32.8,22.2,26.1,13.6,14.9,23.1,20.3
Apple,2019-10-28,19.4,40.0,44.0,10.2,38.3,29.6,30.6,88.8,32.1,28.9,25.1,30.5,12.9,16.6,23.9,32.1
Apple,2019-11-04,21.6,35.9,45.2,9.0,38.8,29.9,30.6,89.0,31.1,32.7,20.7,32.6,14.9,18.0,24.3,31.6
Apple,2019-11-11,21.8,36.9,41.5,11.6,40.2,26.7,28.1,91.3,35.1,32.2,22.5,31.5,13.7,16.2,22.2,30.8
Apple,2019-11-18,20.2,31.6,37.0,4.9,27.4,25.6,27.4,88.0,31.4,29.1,22.4,30.0,15.3,17.4,21.3,25.6
Apple,2019-11-25,18.9,33.0,40.6,9.3,34.0,24.2,27.9,90.0,33.0,34.3,21.8,30.9,16.0,16.6,23.0,28.2
Apple,2019-12-02,19.7,32.7,42.2,7.8,34.5,25.0,25.7,90.6,31.3,37.1,22.8,26.7,11.2,12.9,26.4,28.0
Apple,2019-12-09,25.0,35.8,46.8,11.0,38.0,26.9,26.2,92.1,32.5,32.8,21.6,26.9,15.5,15.4,29.2,30.8
Apple,2019-12-16,16.6,28.4,38.2,4.1,31.5,26.5,23.8,93.5,29.3,28.1,18.8,29.4,14.4,16.0,23.7,25.4
Apple,2019-12-23,18.4,30.7,39.2,8.8,34.2,26.0,22.6,92.1,31.4,29.0,23.9,26.5,13.3,13.9,26.5,26.9
Apple,2019-12-30,14.9,29.3,37.6,8.4,36.3,24.1,23.0,92.0,28.6,26.5,19.6,26.5,13.0,13.3,27.2,26.4
Apple,2020-01-06,19.9,34.1,39.8,7.8,31.8,23.7,23.5,88.9,32.6,29.0,21.5,28.7,13.1,17.4,23.8,26.8
Apple,2020-01-13,15.1,32.8,40.3,11.4,34.1,25.3,27.6,92.3,29.5,30.3,20.8,33.2,15.0,15.9,23.2,28.6
Apple,2020-01-20,21.1,34.9,48.6,9.7,40.9,27.5,28.1,94.6,29.8,30.8,20.4,31.7,16.5,16.2,23.7,31.6
Apple,2020-01-27,19.5,37.6,45.3,10.2,32.9,24.6,27.4,91.8,35.3,30.1,23.9,32.7,16.2,17.2,28.5,29.7
Apple,2020-02-03,17.8,33.7,43.9,8.5,36.2,28.0,31.0,90.2,31.4,29.1,21.7,26.8,12.8,14.3,24.9,30.2
Apple,2020-02-10,19.1,34.5,40.9,5.9,32.1,28.6,23.3,92.3,28.7,29.2,21.6,27.8,12.7,16.9,26.5,27.6
Apple,2020-02-17,18.9,33.1,43.4,9.7,34.4,29.4,27.4,91.5,34.4,28.8,20.3,29.3,14.2,15.5,26.9,29.6
Apple,2020-02-24,18.8,33.4,43.0,9.1,37.4,29.2,26.2,91.4,28.8,26.8,22.8,31.2,12.4,13.2,28.7,29.7
Apple,2020-03-02,11.8,35.7,43.8,9.0,33.0,23.9,26.8,91.6,26.5,24.3,19.7,29.4,13.2,16.8,23.9,28.7
Apple,2020-03-09,20.0,35.2,42.0,9.5,37.6,25.8,29.5,88.2,30.3,26.3,21.6,28.3,15.8,14.5,22.5,29.9
Apple,2020-03-16,14.4,31.4,39.6,11.8,34.6,21.6,26.0,90.7,29.2,23.6,19.6,26.6,12.7,12.8,25.9,27.5
Apple,2020-03-23,20.8,33.0,38.9,8.6,36.2,24.2,26.6,91.8,32.7,27.2,21.6,27.4,14.0,15.4,24.8,27.9
Apple,2020-03-30,13.1,32.1,38.1,4.1,32.5,26.0,25.7,90.8,23.4,19.8,20.9,29.9,12.5,15.3,23.7,26.4
Apple,2020-04-06,23.1,36.6,45.0,12.9,38.4,28.1,30.1,92.0,31.2,20.6,18.3,30.7,13.9,16.1,26.7,31.9
Apple,2020-04-13,12.2,28.8,36.6,6.4,30.1,23.2,23.2,94.5,21.8,21.8,19.6,27.1,14.2,12.7,28.0,24.7
Apple,2020-04-20,14.0,28.5,37.8,9.9,32.2,29.6,23.6,88.8,26.2,22.2,19.0,28.6,13.3,14.9,22.8,26.9
Apple,2020-04-27,15.7,33.6,38.4,13.0,31.1,29.2,26.6,90.6,26.4,22.3,21.1,31.7,13.4,14.3,25.5,28.7
Apple,2020-05-04,12.4,32.8,37.8,5.5,34.5,25.6,21.6,90.1,25.6,23.4,17.3,28.7,11.8,12.4,29.1,26.3
Apple,2020-05-11,13.5,33.0,42.3,5.0,35.7,26.8,29.0,92.4,24.9,22.5,16.8,27.9,11.7,12.9,25.3,28.6
Apple,2020-05-18,15.0,33.2,39.3,7.5,32.9,27.1,25.9,92.1,26.1,20.5,17.0,27.9,14.8,13.9,27.0,27.6
Apple,2020-05-25,16.5,28.2,36.2,8.0,32.4,29.5,22.1,90.3,27.8,24.6,19.5,30.0,14.9,16.0,27.2,26.1
Apple,2020-06-01,11.6,31.9,35.9,7.8,32.7,24.1,24.1,89.0,28.9,21.4,19.7,30.8,15.1,15.9,24.1,26.1
Apple,2020-06-08,14.2,25.6,39.3,14.1,33.4,23.3,24.3,92.1,26.6,22.8,19.0,29.7,13.0,14.8,26.7,26.7
Apple,2020-06-15,10.5,31.4,40.1,6.9,31.5,21.8,23.5,87.9,22.6,21.7,16.9,24.3,12.1,12.5,22.4,25.9
Apple,2020-06-22,11.9,31.2,39.1,5.5,27.8,24.2,24.4,91.1,24.2,22.4,17.2,26.2,10.6,13.0,29.0,25.4
Apple,2020-06-29,16.5,31.2,43.0,8.9,35.4,27.3,26.6,92.2,30.3,22.1,18.7,31.0,16.5,13.2,26.7,28.7
Apple,2020-07-06,17.0,33.8,41.0,13.3,32.2,25.8,27.4,88.9,29.3,20.7,21.0,31.9,15.1,16.4,25.7,28.9
Apple,2020-07-13,16.3,30.8,38.7,8.9,29.6,25.9,27.5,89.9,27.2,21.9,19.3,26.0,13.6,16.6,22.0,26.9
Apple,2020-07-20,17.8,31.7,38.2,8.2,30.7,24.9,23.9,92.5,30.8,25.0,23.7,27.3,12.4,16.2,24.6,26.3
Apple,2020-07-27,13.6,33.2,46.5,13.0,36.1,29.8,30.0,90.3,25.5,27.2,22.8,31.5,14.4,11.4,29.8,31.4
Apple,2020-08-03,15.4,28.6,39.5,10.5,28.6,24.1,24.7,88.9,25.6,20.9,17.1,26.2,11.1,11.5,25.7,26.0
Apple,2020-08-10,11.4,26.7,35.5,4.6,33.0,23.5,27.0,92.5,29.8,24.8,19.4,27.9,14.8,12.8,28.4,25.1
Apple,2020-08-17,15.1,35.3,41.9,10.8,29.5,25.3,27.4,90.5,28.6,27.1,21.0,27.6,14.6,17.7,27.6,28.4
Apple,2020-08-24,11.5,28.0,37.6,0.2,25.9,22.9,23.0,92.4,25.0,23.6,21.6,27.2,12.1,13.2,26.8,22.9
Apple,2020-08-31,21.3,32.1,41.4,9.5,31.6,27.4,25.3,92.6,30.5,25.9,21.3,30.5,15.5,15.7,25.8,27.9
Apple,2020-09-07,15.8,31.1,43.7,7.1,33.3,25.8,24.0,91.2,30.5,25.8,21.8,26.0,10.8,12.4,26.3,27.5
Apple,2020-09-14,17.5,32.2,42.9,8.3,32.0,25.8,24.6,91.5,28.3,24.5,19.8,28.8,12.6,14.9,25.0,27.6
Apple,2020-09-21,18.6,35.2,42.3,12.0,30.4,31.0,28.0,89.9,31.9,27.9,21.0,32.9,13.3,15.1,28.6,29.8
Apple,2020-09-28,19.3,35.9,45.8,11.2,37.0,27.1,27.4,95.3,32.1,30.5,24.3,31.4,15.8,16.3,29.1,30.7
Apple,2020-10-05,19.9,30.5,42.3,8.3,38.4,27.6,25.7,92.4,35.9,33.5,25.1,30.3,15.6,17.6,24.2,28.8
Apple,2020-10-12,26.2,32.3,43.9,10.4,35.7,29.4,29.9,92.4,38.3,36.0,25.8,32.8,20.0,18.0,25.1,30.3
Apple,2020-10-19,22.9,34.5,44.4,10.5,33.7,24.0,27.4,91.2,37.8,34.6,21.7,33.6,15.8,13.9,27.4,29.1
Apple,2020-10-26,24.7,33.9,46.1,9.5,35.1,28.2,28.7,93.2,36.0,35.9,25.7,28.8,13.7,17.5,27.5,30.3
Apple,2020-11-02,25.0,33.8,46.4,9.7,33.5,29.7,29.1,92.6,35.3,31.9,27.5,31.7,14.9,20.6,23.2,30.3
Apple,2020-11-09,17.3,30.2,42.8,8.7,36.3,26.5,23.6,92.7,32.5,37.0,24.6,33.4,17.5,17.6,26.3,28.0
Apple,2020-11-16,25.2,34.7,47.1,9.0,38.2,26.9,29.7,91.4,37.1,36.0,25.0,31.2,15.3,20.7,21.8,30.9
Apple,2020-11-23,16.6,32.2,40.2,8.7,31.8,26.1,26.3,93.1,28.2,32.7,20.5,28.4,14.0,12.1,27.6,27.6
Apple,2020-11-30,19.2,33.0,44.6,8.3,35.3,25.3,28.4,91.9,30.7,29.8,20.7,31.3,15.1,14.6,27.6,29.1
Apple,2020-12-07,19.3,32.8,44.1,10.2,35.1,26.6,30.4,91.4,33.3,33.9,24.0,30.9,16.6,18.2,24.0,29.9
Apple,2020-12-14,16.8,35.7,41.0,11.9,31.9,25.5,25.3,90.6,35.1,33.3,25.6,27.5,13.0,15.5,25.8,28.5
Apple,2020-12-21,19.5,30.9,39.5,6.3,33.1,23.5,24.2,94.1,35.2,34.9,25.2,30.6,13.9,16.7,27.2,26.2
Apple,2020-12-28,20.0,38.5,48.6,12.0,39.6,30.1,33.6,92.3,32.6,31.0,25.7,31.6,16.3,20.4,24.0,33.7
Apple,2021-01-04,17.0,25.5,34.0,8.1,28.1,21.0,19.5,86.3,30.2,28.5,21.6,25.3,11.7,15.1,23.4,22.7
Apple,2021-01-11,11.5,27.1,39.8,5.3,31.1,23.8,22.8,91.1,34.6,29.9,24.8,29.2,13.8,15.0,26.8,25.0
Apple,2021-01-18,14.3,27.4,36.9,10.1,28.4,24.2,22.2,94.1,38.6,26.5,26.4,31.8,15.1,18.5,26.8,24.8
Apple,2021-01-25,12.8,24.5,41.2,9.6,28.7,24.2,24.5,90.5,30.9,29.1,22.9,31.9,14.9,15.3,26.3,25.4
Apple,2021-02-01,18.8,26.4,37.1,5.4,30.0,26.2,19.3,90.1,28.2,24.5,17.5,26.3,11.0,14.1,24.9,24.1
Apple,2021-02-08,12.9,29.8,39.4,5.9,29.3,26.2,22.9,92.3,32.0,28.3,23.9,28.0,15.1,13.4,28.7,25.6
Apple,2021-02-15,15.1,24.0,39.8,5.5,30.8,24.1,24.3,92.7,29.9,26.8,23.8,25.3,12.8,13.0,26.3,24.8
Apple,2021-02-22,16.4,27.8,40.4,9.0,32.1,26.6,25.7,91.5,30.0,28.6,21.1,28.4,13.5,14.9,26.6,26.9
BMW,2019-07-01,4.9,20.8,26.7,-0.4,22.9,1.9,8.9,83.3,10.4,13.7,4.7,7.2,2.2,1.8,2.9,13.5
BMW,2019-07-08,4.4,22.0,27.8,-1.6,25.7,2.2,9.0,86.3,10.7,12.4,5.4,7.8,1.3,1.0,4.0,14.2
BMW,2019-07-15,6.1,25.1,33.1,2.6,27.5,2.7,12.6,88.7,11.4,12.0,7.2,7.3,1.8,2.1,2.8,17.3
BMW,2019-07-22,6.5,23.7,30.7,-1.0,26.0,4.0,11.1,85.2,11.4,10.9,7.1,7.7,1.3,2.6,2.5,15.7
BMW,2019-07-29,7.3,19.1,27.0,-2.8,23.6,3.0,9.9,89.3,10.8,10.0,6.5,8.6,2.0,2.0,3.7,13.3
BMW,2019-08-05,6.2,23.3,29.3,0.4,25.8,5.2,11.5,86.9,10.3,9.8,8.1,8.2,1.7,3.2,4.7,15.9
BMW,2019-08-12,10.5,22.6,30.6,2.8,27.9,3.2,8.9,86.1,14.4,11.4,7.5,5.8,0.9,1.9,3.3,16.0
